"name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","scientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","dateIdentified","coordinateUncertaintyInMeters","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country","rightsHolder","identifier","verbatimEventDate","datasetName","gbifID","verbatimLocality","collectionCode","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identificationID","individualCount","elevation","elevationAccuracy","stateProvince","eventID","organismQuantity","habitat","institutionID","sampleSizeUnit","samplingEffort","footprintWKT","georeferenceRemarks","county","locality","language","occurrenceStatus","footprintSRS","organismQuantityType","locationID","samplingProtocol","parentEventID","sampleSizeValue","recordNumber","associatedTaxa","startDayOfYear","verbatimElevation","identifiedBy","reproductiveCondition","occurrenceRemarks","continent","nomenclaturalCode","type","datasetID","higherClassification","otherCatalogNumbers","identificationRemarks","higherGeography","endDayOfYear","georeferencedDate","georeferencedBy","georeferenceProtocol","verbatimCoordinateSystem","fieldNumber","eventRemarks","accessRights","georeferenceSources","preparations","locationAccordingTo","bibliographicCitation","collectionID","parentNameUsage","nomenclaturalStatus","identificationQualifier","ownerInstitutionCode","locationRemarks","depth","depthAccuracy","scientificNameID","dynamicProperties","acceptedNameUsage","georeferenceVerificationStatus","taxonRemarks","municipality","vernacularName"
"Populus angustifolia",1500224789,38.816564,-104.822709,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2018-04-09T17:31:14.717+0000","2018-01-11T08:36:25.668+0000",102,"none","HUMAN_OBSERVATION",3040196,6,7707728,220,1414,6664,3040183,3040196,"Populus angustifolia James","Plantae","Tracheophyta","Malpighiales","Salicaceae","Populus","Populus angustifolia","Populus","angustifolia","SPECIES","2017-04-07T20:16:47.000+0000",2752,2017,4,7,"2017-04-07T11:28:33.000+0000","2017-04-24T00:50:55.000+0000","2018-02-04T18:06:24.486+0000","https://www.inaturalist.org/observations/5602890","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","US","United States","citylion","5602890","2017-04-07 11:28:33 AM MDT","iNaturalist research-grade observations","1500224789","Colorado Springs, CO","Observations","https://www.inaturalist.org/observations/5602890","52130","citylion","5602890","https://www.inaturalist.org/observations/5602890","iNaturalist","© citylion some rights reserved","17:28:33Z","11597861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Populus angustifolia",1562898903,32.598592,-110.536775,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2018-04-09T17:46:32.256+0000","2018-01-11T08:37:47.149+0000",102,"none","HUMAN_OBSERVATION",3040196,6,7707728,220,1414,6664,3040183,3040196,"Populus angustifolia James","Plantae","Tracheophyta","Malpighiales","Salicaceae","Populus","Populus angustifolia","Populus","angustifolia","SPECIES","2017-05-06T06:52:54.000+0000",NA,2017,5,5,"2017-05-05T14:15:28.000+0000","2017-07-14T03:16:58.000+0000","2018-02-04T18:56:27.295+0000","https://www.inaturalist.org/observations/6108580","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","US","United States","CK Kelly","6108580","Fri May 05 2017 14:15:28 GMT-0700 (MST)","iNaturalist research-grade observations","1562898903","30300–31110 River Rd, San Manuel, AZ, US","Observations","https://www.inaturalist.org/observations/6108580","52130","CK Kelly","6108580","https://www.inaturalist.org/observations/6108580","iNaturalist","© CK Kelly some rights reserved","20:15:28Z","12579052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Populus angustifolia",1562981706,38.919005,-114.126822,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2018-04-09T18:16:40.810+0000","2018-01-11T08:38:29.805+0000",102,"none","HUMAN_OBSERVATION",3040196,6,7707728,220,1414,6664,3040183,3040196,"Populus angustifolia James","Plantae","Tracheophyta","Malpighiales","Salicaceae","Populus","Populus angustifolia","Populus","angustifolia","SPECIES","2017-05-25T15:42:39.000+0000",NA,2017,5,24,"2017-05-24T09:18:58.000+0000","2017-05-30T04:12:51.000+0000","2018-02-03T11:57:58.834+0000","https://www.inaturalist.org/observations/6356983","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","US","United States","Bryan Hamilton","6356983","Wed May 24 2017 09:18:58 GMT-0700 (PDT)","iNaturalist research-grade observations","1562981706","89311, Baker, NV, US","Observations","https://www.inaturalist.org/observations/6356983","52130","Bryan Hamilton","6356983","https://www.inaturalist.org/observations/6356983","iNaturalist","© Bryan Hamilton some rights reserved","16:18:58Z","13120690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Populus angustifolia",1657214125,39.547351,-105.093222,"cdround,gass84","f61e69d1-e79f-4ccb-bd92-56a7cefcf1e4","36488347-eceb-40ed-b687-406f3601d8cb","US","DWC_ARCHIVE","2017-10-05T17:22:48.555+0000","2017-10-05T17:22:48.566+0000",3,"none","HUMAN_OBSERVATION",3040196,6,7707728,220,1414,6664,3040183,3040196,"Populus angustifolia James","Plantae","Tracheophyta","Malpighiales","Salicaceae","Populus","Populus angustifolia","Populus","angustifolia","SPECIES",NA,12.5,2017,6,27,"2017-06-27T00:00:00.000+0000","2017-10-05T00:00:00.000+0000","2018-02-04T17:06:09.854+0000",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","US","United States",NA,"7f56c956-a226-11e7-90c8-000c293b0c0e",NA,NA,"1657214125",NA,NA,"31a4d0ab-a223-11e7-90c8-000c293b0c0e",NA,"Margo Paces",NA,NA,"DBG",NA,NA,NA,1,1663,1,"Colorado","7f56c956-a226-11e7-90c8-000c293b0c0e","1","riparian","urn:lsid:biocol.org:col:12925","meter","25 meter transect walked by foot","LINESTRING(39.54733 -105.09338,39.54723 -105.09314)","Georeference calculated from estimated mid point of 25 meter transect. Observaiton occurred along transect.","Jefferson","Chatfield Farms, 8500 W Deer Creek Canyon Rd, 400 meters west of S Wadsworth Blvd (Hwy 121). Deer Creek Riparian Zone.","en","present","GEOGCS[""WGS 84"", DATUM[""WGS_1984"", SPHEROID[""WGS 84"",6378137,298.257223563, AUTHORITY[""EPSG"",""7030""]], AUTHORITY[""EPSG"",""6326""]], PRIMEM[""Greenwich"",0, AUTHORITY[""EPSG"",""8901""]], UNIT[""degree"",0.01745329251994328, AUTHORITY[""EPSG"",""9122""]], AUTHORITY[""EPSG"",""4326""]]","individual","DBG_CF_Transect10_REF1","25 meter transect sampled every 0.25 meters using point-intercept method to measure ground vegetation cover.","27c9affb-a227-11e7-90c8-000c293b0c0e","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Populus angustifolia",1657214022,39.550976,-105.127917,"cdround,gass84","f61e69d1-e79f-4ccb-bd92-56a7cefcf1e4","36488347-eceb-40ed-b687-406f3601d8cb","US","DWC_ARCHIVE","2017-10-05T17:22:48.461+0000","2017-10-05T17:22:48.500+0000",3,"none","HUMAN_OBSERVATION",3040196,6,7707728,220,1414,6664,3040183,3040196,"Populus angustifolia James","Plantae","Tracheophyta","Malpighiales","Salicaceae","Populus","Populus angustifolia","Populus","angustifolia","SPECIES",NA,12.5,2017,6,26,"2017-06-26T00:00:00.000+0000","2017-10-05T00:00:00.000+0000","2018-02-04T17:06:09.015+0000",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","US","United States",NA,"7f4f7dc0-a226-11e7-90c8-000c293b0c0e",NA,NA,"1657214022",NA,NA,"31a47b8c-a223-11e7-90c8-000c293b0c0e",NA,"Margo Paces",NA,NA,"DBG",NA,NA,NA,2,1726.5,2.5,"Colorado","7f4f7dc0-a226-11e7-90c8-000c293b0c0e","2","riparian","urn:lsid:biocol.org:col:12925","meter","25 meter transect walked by foot","LINESTRING(39.55091 -105.128,39.55106 -105.12785)","Georeference calculated from estimated mid point of 25 meter transect. Observaiton occurred along transect.","Jefferson","Jefferson County Open Space. 100 meters south of Deer Creek Canyon Road (Co Rd 124), 2.5 driving miles from intersction of South Wadsworth Blvd (Hwy 121). Riparian area adjacent to Deer Creek.","en","present","GEOGCS[""WGS 84"", DATUM[""WGS_1984"", SPHEROID[""WGS 84"",6378137,298.257223563, AUTHORITY[""EPSG"",""7030""]], AUTHORITY[""EPSG"",""6326""]], PRIMEM[""Greenwich"",0, AUTHORITY[""EPSG"",""8901""]], UNIT[""degree"",0.01745329251994328, AUTHORITY[""EPSG"",""9122""]], AUTHORITY[""EPSG"",""4326""]]","individual","DBG_CF_Transect1_JCOS1","25 meter transect sampled every 0.25 meters using point-intercept method to measure ground vegetation cover.","27c9ab20-a227-11e7-90c8-000c293b0c0e","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Populus angustifolia",1657214088,39.548553,-105.095896,"cdround,gass84","f61e69d1-e79f-4ccb-bd92-56a7cefcf1e4","36488347-eceb-40ed-b687-406f3601d8cb","US","DWC_ARCHIVE","2017-10-05T17:22:48.555+0000","2017-10-05T17:22:48.561+0000",3,"none","HUMAN_OBSERVATION",3040196,6,7707728,220,1414,6664,3040183,3040196,"Populus angustifolia James","Plantae","Tracheophyta","Malpighiales","Salicaceae","Populus","Populus angustifolia","Populus","angustifolia","SPECIES",NA,12.5,2017,6,27,"2017-06-27T00:00:00.000+0000","2017-10-05T00:00:00.000+0000","2018-02-04T17:06:08.711+0000",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","US","United States",NA,"7f56c266-a226-11e7-90c8-000c293b0c0e",NA,NA,"1657214088",NA,NA,"31a4c9ae-a223-11e7-90c8-000c293b0c0e",NA,"Margo Paces",NA,NA,"DBG",NA,NA,NA,NA,1634,5,"Colorado","7f56c266-a226-11e7-90c8-000c293b0c0e",NA,"riparian","urn:lsid:biocol.org:col:12925","meter","25 meter transect walked by foot","LINESTRING(39.54862 -105.09559,39.54839 -105.09592)","Georeference calculated from estimated mid point of 25 meter transect. Observaiton occurred along transect.","Jefferson","Chatfield Farms, 8500 W Deer Creek Canyon Rd, center of property, Deer Creek Riparian Zone.","en","present","GEOGCS[""WGS 84"", DATUM[""WGS_1984"", SPHEROID[""WGS 84"",6378137,298.257223563, AUTHORITY[""EPSG"",""7030""]], AUTHORITY[""EPSG"",""6326""]], PRIMEM[""Greenwich"",0, AUTHORITY[""EPSG"",""8901""]], UNIT[""degree"",0.01745329251994328, AUTHORITY[""EPSG"",""9122""]], AUTHORITY[""EPSG"",""4326""]]","individual","DBG_CF_Transect9_DS3","25 meter transect sampled every 0.25 meters using point-intercept method to measure ground vegetation cover.","27c9af6f-a227-11e7-90c8-000c293b0c0e","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Populus angustifolia",1657213975,39.552426,-105.111801,"cdround,gass84","f61e69d1-e79f-4ccb-bd92-56a7cefcf1e4","36488347-eceb-40ed-b687-406f3601d8cb","US","DWC_ARCHIVE","2017-10-05T17:22:48.481+0000","2017-10-05T17:22:48.513+0000",3,"none","HUMAN_OBSERVATION",3040196,6,7707728,220,1414,6664,3040183,3040196,"Populus angustifolia James","Plantae","Tracheophyta","Malpighiales","Salicaceae","Populus","Populus angustifolia","Populus","angustifolia","SPECIES",NA,12.5,2017,6,26,"2017-06-26T00:00:00.000+0000","2017-10-05T00:00:00.000+0000","2018-02-04T17:06:10.536+0000",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","US","United States",NA,"7f516284-a226-11e7-90c8-000c293b0c0e",NA,NA,"1657213975",NA,NA,"31a48dbd-a223-11e7-90c8-000c293b0c0e",NA,"Margo Paces",NA,NA,"DBG",NA,NA,NA,7,1693,4,"Colorado","7f516284-a226-11e7-90c8-000c293b0c0e","7","riparian","urn:lsid:biocol.org:col:12925","meter","25 meter transect walked by foot","LINESTRING(39.55262 -105.11197,39.55247 -105.11175)","Georeference calculated from estimated mid point of 25 meter transect. Observaiton occurred along transect.","Jefferson","Jefferson County Open Space. 115 meters south of Deer Creek Canyon Road (Co Rd 124), 1.5 driving miles from intersction of South Wadsworth Blvd (Hwy 121). Riparian area on south side of Deer Creek.","en","present","GEOGCS[""WGS 84"", DATUM[""WGS_1984"", SPHEROID[""WGS 84"",6378137,298.257223563, AUTHORITY[""EPSG"",""7030""]], AUTHORITY[""EPSG"",""6326""]], PRIMEM[""Greenwich"",0, AUTHORITY[""EPSG"",""8901""]], UNIT[""degree"",0.01745329251994328, AUTHORITY[""EPSG"",""9122""]], AUTHORITY[""EPSG"",""4326""]]","individual","DBG_CF_Transect2_JCOS2","25 meter transect sampled every 0.25 meters using point-intercept method to measure ground vegetation cover.","27c9abaa-a227-11e7-90c8-000c293b0c0e","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Populus angustifolia",1657214013,39.551819,-105.109438,"cdround,gass84","f61e69d1-e79f-4ccb-bd92-56a7cefcf1e4","36488347-eceb-40ed-b687-406f3601d8cb","US","DWC_ARCHIVE","2017-10-05T17:22:48.501+0000","2017-10-05T17:22:48.525+0000",3,"none","HUMAN_OBSERVATION",3040196,6,7707728,220,1414,6664,3040183,3040196,"Populus angustifolia James","Plantae","Tracheophyta","Malpighiales","Salicaceae","Populus","Populus angustifolia","Populus","angustifolia","SPECIES",NA,12.5,2017,6,26,"2017-06-26T00:00:00.000+0000","2017-10-05T00:00:00.000+0000","2018-02-04T17:06:08.157+0000",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","US","United States",NA,"7f565a98-a226-11e7-90c8-000c293b0c0e",NA,NA,"1657214013",NA,NA,"31a49454-a223-11e7-90c8-000c293b0c0e",NA,"Margo Paces",NA,NA,"DBG",NA,NA,NA,1,1697,0,"Colorado","7f565a98-a226-11e7-90c8-000c293b0c0e","1","riparian","urn:lsid:biocol.org:col:12925","meter","25 meter transect walked by foot","LINESTRING(39.55188 -105.10954,39.55182 -105.10931)","Georeference calculated from estimated mid point of 25 meter transect. Observaiton occurred along transect.","Jefferson","Jefferson County Open Space. 215 meters south of Deer Creek Canyon Road (Co Rd 124), 1.3 driving miles from intersction of South Wadsworth Blvd (Hwy 121). South east of Hildebrand Ranch Park parking area. Riparian area on south side of Deer Creek.","en","present","GEOGCS[""WGS 84"", DATUM[""WGS_1984"", SPHEROID[""WGS 84"",6378137,298.257223563, AUTHORITY[""EPSG"",""7030""]], AUTHORITY[""EPSG"",""6326""]], PRIMEM[""Greenwich"",0, AUTHORITY[""EPSG"",""8901""]], UNIT[""degree"",0.01745329251994328, AUTHORITY[""EPSG"",""9122""]], AUTHORITY[""EPSG"",""4326""]]","individual","DBG_CF_Transect3_JCOS3","25 meter transect sampled every 0.25 meters using point-intercept method to measure ground vegetation cover.","27c9ac34-a227-11e7-90c8-000c293b0c0e","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Populus angustifolia",1586100021,40.594632,-105.181385,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2018-04-09T18:55:27.052+0000","2018-01-11T08:40:41.058+0000",102,"none","HUMAN_OBSERVATION",3040196,6,7707728,220,1414,6664,3040183,3040196,"Populus angustifolia James","Plantae","Tracheophyta","Malpighiales","Salicaceae","Populus","Populus angustifolia","Populus","angustifolia","SPECIES","2017-07-22T12:41:56.000+0000",NA,2017,6,16,"2017-06-16T11:35:00.000+0000","2017-08-02T20:13:51.000+0000","2018-02-03T04:54:35.434+0000","https://www.inaturalist.org/observations/7155425","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","US","United States","Tim Guida","7155425","2017/06/16 11:35 AM EDT","iNaturalist research-grade observations","1586100021","Larimer County, CO, USA","Observations","https://www.inaturalist.org/observations/7155425","52130","Tim Guida","7155425","https://www.inaturalist.org/observations/7155425","iNaturalist","© Tim Guida some rights reserved","15:35:00Z","14842658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Populus angustifolia",1668899770,37.263061,-112.949942,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2018-04-09T19:02:15.731+0000","2018-01-11T08:48:05.522+0000",102,"none","HUMAN_OBSERVATION",3040196,6,7707728,220,1414,6664,3040183,3040196,"Populus angustifolia James","Plantae","Tracheophyta","Malpighiales","Salicaceae","Populus","Populus angustifolia","Populus","angustifolia","SPECIES","2017-10-06T02:57:46.000+0000",NA,2017,9,28,"2017-09-28T12:06:00.000+0000","2017-10-08T00:26:11.000+0000","2018-02-02T19:51:25.706+0000","https://www.inaturalist.org/observations/8266490","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","US","United States","hikingsandiego","8266490","2017/09/28 12:06 PM PDT","iNaturalist research-grade observations","1668899770","Washington County, UT, USA","Observations","https://www.inaturalist.org/observations/8266490","52130","hikingsandiego","8266490","https://www.inaturalist.org/observations/8266490","iNaturalist","© hikingsandiego some rights reserved","19:06:00Z","17514259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Populus angustifolia",1305120530,35.777533,-106.269963,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2018-04-09T16:38:12.363+0000","2018-01-11T08:29:44.159+0000",102,"none","HUMAN_OBSERVATION",3040196,6,7707728,220,1414,6664,3040183,3040196,"Populus angustifolia James","Plantae","Tracheophyta","Malpighiales","Salicaceae","Populus","Populus angustifolia","Populus","angustifolia","SPECIES",NA,5,2016,5,20,"2016-05-20T15:34:59.000+0000","2016-08-18T02:21:05.000+0000","2018-02-04T04:20:20.304+0000","https://www.inaturalist.org/observations/3236437","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","US","United States","megswan","3236437","Fri May 20 2016 15:34:59 GMT-0600 (MDT)","iNaturalist research-grade observations","1305120530","Bandelier National Monument, Sandoval County, US-NM, US","Observations","http://www.inaturalist.org/observations/3236437","52130","megswan","3236437","http://www.inaturalist.org/observations/3236437","iNaturalist","© megswan some rights reserved","21:34:59Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Populus angustifolia",1450611950,38.74281,-106.06639,"rdatm,txmatfuz","4e22dd77-6ba1-4256-a692-64fecdf38ea7","36488347-eceb-40ed-b687-406f3601d8cb","US","DWC_ARCHIVE","2017-10-08T07:24:09.401+0000","2017-08-04T16:01:54.030+0000",50,"none","PRESERVED_SPECIMEN",3040196,6,7707728,220,1414,6664,3040183,3040196,"Populus angustifolia James","Plantae","Tracheophyta","Malpighiales","Salicaceae","Populus","Populus angustifolia","Populus","angustifolia","SPECIES",NA,NA,2016,6,3,"2016-06-03T00:00:00.000+0000",NA,"2018-02-05T01:44:08.978+0000","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=11611819","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","US","United States",NA,"13e5ce6f-5429-4012-b505-f4e6224777a8","6/3/2016",NA,"1450611950",NA,"KHD","13e5ce6f-5429-4012-b505-f4e6224777a8",NA,"Loraine Yeatts","KHD00062282",NA,"DBG",NA,NA,NA,NA,2332,NA,"Colorado",NA,NA,"Riparian Populus angustifolia - Betula occidentalis corridor; associates include Juniperus scopulorum, Alnus incana ssp. tenuifolia, Salix spp., Maianthemum amplexicaule, Descurainia sophia, Carex duriuscula, Juncus arcticus, Alyssum desertorum, Equisetum laevigatum; young tree, ca. 15 ft. tall; abundant on floodplain.",NA,NA,NA,NA,NA,"Chaffee","BLM, Browns Canyon National Monument near junction of Little Cottonwood Creek and Arkansas R.",NA,NA,NA,NA,NA,NA,NA,NA,"6415","Betula occidentalis; Juniperus scopulorum; Alnus incana ssp. tenuifolia; Salix spp.; Maianthemum amplexicaule; Descurainia sophia; Carex duriuscula; Juncus arcticus; Alyssum desertorum; Equisetum laevigatum","155","7650 ft.","Janet L. Wingate (KHD)","fruit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Populus angustifolia",1585286260,38.676126109337,-106.012241818031,"cdrep,rdatm,txmatfuz","4e22dd77-6ba1-4256-a692-64fecdf38ea7","36488347-eceb-40ed-b687-406f3601d8cb","US","DWC_ARCHIVE","2017-10-08T07:24:21.930+0000","2017-08-04T16:02:10.005+0000",50,"none","PRESERVED_SPECIMEN",3040196,6,7707728,220,1414,6664,3040183,3040196,"Populus angustifolia James","Plantae","Tracheophyta","Malpighiales","Salicaceae","Populus","Populus angustifolia","Populus","angustifolia","SPECIES",NA,NA,2016,6,2,"2016-06-02T00:00:00.000+0000",NA,"2018-02-03T04:59:30.503+0000","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=12947613","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","US","United States",NA,"a77cc44c-0302-49f2-b348-d66224833d8b","6/2/2016",NA,"1585286260",NA,"KHD","a77cc44c-0302-49f2-b348-d66224833d8b",NA,"Loraine Yeatts","KHD00062280",NA,"DBG",NA,NA,NA,NA,2565,NA,"Colorado",NA,NA,"On drainage bank with Pinus ponderosa, Juniperus scopulorum, Cercocarpus montanus, Symphoricarpos rotundifolius; large tree; vegetative; common along drainage.",NA,NA,NA,NA,NA,"Chaffee","San Isabel National Forest, Browns Canyon National Monument along Turret Road USFS rd 184, between Green and Sawmill Gulch",NA,NA,NA,NA,NA,NA,NA,NA,"6388","Pinus ponderosa; Juniperus scopulorum; Quercus gambellii; Symphoricarpos rotundifolius; Cercocarpus montanus","154","8415 ft.",NA,"vegetative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Populus angustifolia",1585286146,38.73738,-105.98058,"","4e22dd77-6ba1-4256-a692-64fecdf38ea7","36488347-eceb-40ed-b687-406f3601d8cb","US","DWC_ARCHIVE","2017-10-08T07:24:19.515+0000","2017-08-04T16:02:06.930+0000",50,"none","PRESERVED_SPECIMEN",3040196,6,7707728,220,1414,6664,3040183,3040196,"Populus angustifolia James","Plantae","Tracheophyta","Malpighiales","Salicaceae","Populus","Populus angustifolia","Populus","angustifolia","SPECIES",NA,NA,2016,7,20,"2016-07-20T00:00:00.000+0000",NA,"2018-02-03T04:59:28.802+0000","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=15716214","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","US","United States",NA,"8b9b24d3-fba4-4d42-9901-d5d7cd519fc5",NA,NA,"1585286146",NA,"KHD","8b9b24d3-fba4-4d42-9901-d5d7cd519fc5",NA,"Janet L. Wingate","KHD00062779",NA,"DBG",NA,NA,NA,NA,2822,NA,"Colorado",NA,NA,"Stream bed.",NA,NA,NA,NA,NA,"Chaffee","San Isabel National Forest, Browns Canyon National Monument, Cottenwood Creek, W of CR 185.; 38.73738 -105.98058",NA,NA,NA,NA,NA,NA,NA,NA,"10948","Carex microptera, Bromus inermis, Pentaphylloides floribunda, Salix","202","9257 ft.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
